State Abv,Summary Code,Region,Total Population,White Alone,African-American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Other Alone,Two or More Races,Hispanic or Latino,Not Hispanic or Latino,year
AL,40,3,5024279,3220452,1296162,33625,76660,2984,137443,256953,264047,4760232,2020
AK,40,4,733391,435392,21898,111575,44032,12698,18272,89524,49824,683567,2020
AZ,40,4,7151502,4322337,339150,319512,257430,16397,899870,996806,2192253,4959249,2020
AR,40,3,3011524,2114512,453783,27177,51839,14533,136105,213575,256847,2754677,2020
CA,40,4,39538223,16296122,2237044,631016,6085947,157263,8370596,5760235,15579652,23958571,2020
CO,40,4,5773714,4082927,234828,74129,199827,10287,464046,707670,1263390,4510324,2020
CT,40,1,3605944,2395128,388675,16051,172455,1598,299133,332904,623293,2982651,2020
DE,40,3,989948,597763,218899,5148,42699,412,48509,76518,104290,885658,2020
FL,40,3,21538187,12422961,3246381,94795,643682,14014,1564282,3552072,5697240,15840947,2020
GA,40,3,10711908,5555483,3320513,50618,479028,7299,555059,743908,1123457,9588451,2020
HI,40,4,1455271,333261,23417,4370,541902,157445,26747,368129,138923,1316348,2020
ID,40,4,1839106,1510360,15726,25621,26836,3726,103632,153205,239407,1599699,2020
IL,40,2,12812508,7868227,1808271,96498,754878,4501,1135149,1144984,2337410,10475098,2020
IN,40,2,6785528,5241795,648513,26086,167959,3137,261312,436726,554191,6231337,2020
IA,40,2,3190369,2694521,131972,14486,75629,5758,88720,179283,215986,2974383,2020
KS,40,2,2937880,2222462,168809,30995,86273,3412,145422,280507,382603,2555277,2020
KY,40,3,4505836,3711254,362417,12801,74426,3681,96417,244840,207854,4297982,2020
LA,40,3,4657757,2657652,1464023,31657,86438,1911,142699,273377,322549,4335208,2020
ME,40,1,1362359,1237041,25752,7885,16798,443,9730,64710,26609,1335750,2020
MD,40,3,6177224,3007874,1820472,31845,420944,3247,410941,481901,729745,5447479,2020
MA,40,1,7029917,4896037,494029,24018,507934,2301,496731,608867,887685,6142232,2020
MI,40,2,10077331,7444974,1376579,61261,334300,3051,221851,635315,564422,9512909,2020
MN,40,2,5706494,4423146,398434,68641,299190,2918,168444,345721,345640,5360854,2020
MS,40,3,2961279,1658893,1084481,16450,32709,1154,56860,110732,105220,2856059,2020
MO,40,2,6154913,4740335,699840,30518,133377,9730,127942,413171,303068,5851845,2020
MT,40,4,1084225,916524,5484,67612,8300,941,14089,71275,45199,1039026,2020
NE,40,2,1961504,1538052,96535,23102,52951,1534,105167,144163,234715,1726789,2020
NV,40,4,3104614,1588463,304739,43932,272703,25011,435757,434009,890257,2214357,2020
NH,40,1,1377529,1216203,20127,3031,35871,453,24102,77742,59454,1318075,2020
NJ,40,1,9288994,5112280,1219770,51186,950090,3533,1048641,903494,2002575,7286419,2020
NM,40,4,2117522,1078937,45904,212241,37469,2093,318632,422246,1010811,1106711,2020
NY,40,1,20201249,11143349,2986172,149690,1933127,10815,2210633,1767463,3948032,16253217,2020
NC,40,3,10439388,6488459,2140217,130032,343051,8518,617390,711721,1118596,9320792,2020
ND,40,2,779094,645938,26783,38914,13213,924,11382,41940,33412,745682,2020
OH,40,2,11799448,9080688,1478781,30720,298509,5034,224344,681372,521308,11278140,2020
OK,40,3,3959353,2514885,289961,332791,90949,8608,214001,508158,471931,3487422,2020
OR,40,4,4237256,3169096,82655,62993,194538,19204,265431,443339,588757,3648499,2020
PA,40,1,13002700,9750687,1423169,31052,510501,4276,508531,774484,1049615,11953085,2020
RI,40,1,1097379,782920,62168,7385,38961,536,103615,101794,182101,915278,2020
SC,40,3,5118425,3243442,1280531,24303,90466,3431,177876,298376,352838,4765587,2020
SD,40,2,886667,715336,17842,77748,13476,543,15057,46665,38741,847926,2020
TN,40,3,6910840,4990938,1092948,28044,135615,4115,246282,412898,479187,6431653,2020
TX,40,3,29145505,14609365,3552997,278948,1585480,33611,3951366,5133738,11441717,17703788,2020
UT,40,4,3271616,2573413,40058,41644,80438,36930,220120,279013,492912,2778704,2020
VT,40,1,643077,577751,9034,2289,11549,181,5247,37026,15504,627573,2020
VA,40,3,8631393,5208856,1607581,40007,615436,7156,446650,705707,908749,7722644,2020
WA,40,4,7705281,5130920,307565,121468,730596,64933,513140,836659,1059213,6646068,2020
WV,40,3,1793716,1610749,65813,3706,15109,476,12919,84944,34827,1758889,2020
WI,40,2,5893718,4737545,376256,60428,175702,2199,182054,359534,447290,5446428,2020
WY,40,4,576851,488374,5232,13898,5212,579,20083,43473,59046,517805,2020
DC,40,3,689545,273194,285810,3193,33545,432,37294,56077,77652,611893,2020
PR,40,9,3285874,560592,228711,17870,4001,593,838316,1635791,3249043,36831,2020
